Location,Exterior_Color,Interior_Color,Drive_Train,MPG,Fuel_Type,Transmission,Engine,Mileage,Status,Year,Brand,Model
dallas-tx,Crystal Red Tintcoat,Charcoal,Front-wheel Drive,20-28,Gasoline,Automatic,"ECOTEC 2.4L I-4 gasoline direct injection, DOHC, variable valve","87,949 mi.",Used,2014,Chevrolet,Captiva Sport LT
dallas-tx,Daytona Gray Pearl Effect,Black / Express Red,All-wheel Drive,15-22,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,"28,625 mi.",Audi Certified,2021,Audi,RS 6 Avant -CERTIFIED
dallas-tx,Mythos Black Metallic,Black,All-wheel Drive,NULL,,1-Speed Automatic,Electric,"20,029 mi.",Used,2023,Audi,e-tron S Premium Plus
dallas-tx,Graphite Shadow,Black,All-wheel Drive,17-24,Gasoline,A,"VQ 3.5L V-6 DOHC, variable valve control, premium unleaded, engi","124,860 mi.",Used,2012,INFINITI,EX35 Journey
dallas-tx,Black Velvet,Ebony,All-wheel Drive,16-23,Gasoline,6-Speed Automatic,3.7L V6 24V MPFI DOHC,"37,280 mi.",Used,2018,Lincoln,MKX Reserve
dallas-tx,Liquid Platinum Metallic,Graphite,Rear-wheel Drive,17-24,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI DOHC,"116,772 mi.",Used,2010,INFINITI,EX35 Journey
dallas-tx,Silver,Gray,Four-wheel Drive,0-0,Diesel,A,"Cummins 5.9L I-6 diesel direct injection, intercooled turbo, die","332,370 mi.",Used,2006,Dodge,Ram 2500 SLT Quad Cab
dallas-tx,White,Black,Front-wheel Drive,NULL,,1-Speed Automatic,Electric,"7,624 mi.",Used,2023,Chevrolet,Bolt EUV Premier
dallas-tx,Torch Red,Gray,Front-wheel Drive,20-29,Gasoline,Automatic,"3.1L V-6 regular unleaded, engine with 160HP","41,758 mi.",Used,1997,Chevrolet,Monte Carlo LS
dallas-tx,Techno Gray,Black,Rear-wheel Drive,19-26,Gasoline,Automatic,"Ecotec 2L I-4 gasoline direct injection, DOHC, variable valve co","75,407 mi.",Used,2008,Saturn,Sky Red Line
dallas-tx,Arancio Borealis Pearl Effect,Nero Cosmus,All-wheel Drive,14-19,Gasoline,Automatic,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro","21,331 mi.",Used,2018,Lamborghini,Huracan Performante
dallas-tx,Gray,Black,Rear-wheel Drive,30-30,Gasoline,Automatic 8-Speed,V6 3.6L Natural Aspiration,"42,201 mi.",Used,2020,Dodge,Challenger GT
dallas-tx,Black,Tan,All-wheel Drive,16-24,Gasoline,Automatic,"3L I-6 gasoline direct injection, DOHC, Double VANOS variable va","91,468 mi.",Used,2010,BMW,535 xDrive
dallas-tx,Granite Crystal Metallic Clearcoat,Black,Front-wheel Drive,22-31,Gasoline,6-Speed Automatic,"MultiAir 2.4L I-4 variable valve control, regular unleaded, engi","21,172 mi.",Used,2015,Dodge,Dart Limited
dallas-tx,Ultrasonic Blue Mica,Black,Rear-wheel Drive,22-32,Gasoline,8-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,"72,666 mi.",Used,2016,Lexus,RC 200t Base
dallas-tx,Gray,Black,All-wheel Drive,16-22,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,"34,319 mi.",Used,2018,Mercedes-Benz,AMG GLC 63 Base 4MATIC
dallas-tx,Ruby Red Metallic Tinted Clearcoat,Tan,Front-wheel Drive,21-31,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"116,017 mi.",Used,2017,Ford,Fusion Titanium
dallas-tx,Starbright Yellow,Black,All-wheel Drive,25-30,Gasoline,7-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Turbo,"45,845 mi.",Used,2021,Kia,Seltos SX
dallas-tx,GRAY,GRAY,Rear-wheel Drive,0-0,Gasoline,Automatic,3.5L,"89,175 mi.",Used,2008,INFINITI,EX35 BASE
dallas-tx,Gold,Gray,Front-wheel Drive,20-28,Gasoline,Automatic,"ECOTEC 2.4L I-4 gasoline direct injection, DOHC, variable valve","92,739 mi.",Used,2013,Chevrolet,Captiva Sport LTZ
dallas-tx,Florett Silver Metallic,Black,All-wheel Drive,NULL,,1-Speed Automatic,Electric,"7,607 mi.",Used,2023,Audi,e-tron S Prestige
dallas-tx,Black Sapphire Metallic,Black,All-wheel Drive,17-25,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,"24,755 mi.",Used,2021,BMW,M550 i xDrive
dallas-tx,Amaranth Red Metallic,Black,Rear-wheel Drive,20-28,Gasoline,7-Speed Automatic with Auto-Shift,3.4L H6 24V GDI DOHC,"15,973 mi.",Used,2013,Porsche,Boxster S-VALUE VEHICLE
dallas-tx,Blizzard Pearl,Black,Front-wheel Drive,21-27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,"61,717 mi.",Used,2017,Toyota,Highlander SE
dallas-tx,White Satin,Newmarket Tan,Rear-wheel Drive,11-18,E85 Flex Fuel,Automatic,"6.8L V-8 variable valve control, twin turbo, engine with cylinde","44,911 mi.",Used,2011,Bentley,Mulsanne Base
dallas-tx,Black,Black,All-wheel Drive,18-26,Gasoline,6-Speed Automatic,3.7L V6 24V MPFI SOHC,"149,604 mi.",Used,2012,Acura,TL 3.7 Advance
