Location,Exterior_Color,Interior_Color,Drive_Train,MPG,Fuel_Type,Transmission,Engine,Mileage,Status,Year,Brand,Model
atlanta-ga,Lunar Silver Metallic,Graystone,Front-wheel Drive,24-34,Gasoline,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,"6,375 mi.",Used,2019,Acura,ILX Premium Package
atlanta-ga,Lunar Silver Metallic,Graystone,Front-wheel Drive,24-34,Gasoline,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,"6,375 mi.",Used,2019,Acura,ILX Premium Package
atlanta-ga,Black,Tan,–,0-0,–,5 Speed Manual,–,"2,341 mi.",Used,1997,Panoz,AIV Roadster
atlanta-ga,Burgundy Metallic,Burgundy,–,0-0,–,700R4,–,"183,122 mi.",Used,1988,Chevrolet,1500
atlanta-ga,Cloudburst Gray,Gray,All-wheel Drive,NULL,,1-Speed Automatic,Electric,475 mi.,Used,2023,Lexus,RZ 450e Premium
atlanta-ga,Gray,BLACK,Rear-wheel Drive,16-23,Gasoline,Automatic,Gas,"79,619 mi.",Used,2018,Chevrolet,Suburban LT
atlanta-ga,Black,TAN,Four-wheel Drive,22-28,Gasoline,Automatic,Turbo Gas,"61,249 mi.",Used,2016,Lexus,NX 200t
atlanta-ga,Iridium Silver Metallic,Black,All-wheel Drive,17-23,Gasoline,Automatic,"3L V-6 gasoline direct injection, DOHC, variable valve control,","47,331 mi.",Used,2019,Mercedes-Benz,GLE 400 Base 4MATIC
atlanta-ga,Nebula Gray Pearl,Circuit Red,Front-wheel Drive,22-28,Gasoline,Automatic,"2L I-4 port/direct injection, DOHC, VVT-iW variable valve contro","35,425 mi.",Used,2021,Lexus,NX 300 F Sport
atlanta-ga,Deep Black Pearl/Black Roof,Titan Black,Front-wheel Drive,26-33,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,","58,137 mi.",Used,2019,Volkswagen,Beetle 2.0T S
atlanta-ga,Arctic White,Seashell,Rear-wheel Drive,12-19,Gasoline,ZF 8-Speed Automatic,"6.7L V-12 gasoline direct injection, DOHC, variable valve contro","25,570 mi.",Rolls-Royce Certified,2018,Rolls-Royce,Phantom Sedan
atlanta-ga,Cherry Metallic,Black,All-wheel Drive,NULL,,2-Speed Automatic,Electric Motor,"21,001 mi.",Used,2022,Porsche,Taycan Cross Turismo 4
atlanta-ga,Black,Black,All-wheel Drive,12-21,Gasoline,9-Speed Automatic,"6L V-12 twin turbo, premium unleaded, engine with 621HP","1,565 mi.",Used,2022,Mercedes-Benz,Maybach S 680 4MATIC
atlanta-ga,Gray,Black,All-wheel Drive,NULL,,1-Speed Automatic,Electric Motor,"7,113 mi.",Used,2022,Audi,RS e-tron GT quattro
atlanta-ga,White,Medium Blue,Front-wheel Drive,19-30,Gasoline,4-Speed Automatic,3.8L V6 12V MPFI OHV,"90,121 mi.",Used,2001,Buick,LeSabre Custom
atlanta-ga,Dravit Gray Metallic,Cognac,All-wheel Drive,17-24,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,"50,790 mi.",Used,2021,BMW,750 i xDrive
atlanta-ga,Bernina Gray Amber Effect,Ivory White,All-wheel Drive,17-24,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,"28,975 mi.",Used,2021,BMW,750 i xDrive
atlanta-ga,Lapiz Blue Metallic,Titan Black - Leather,All-wheel Drive,20-28,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,"1,130 mi.",Used,2024,Volkswagen,Golf R 2.0T
atlanta-ga,Brown,Black,Front-wheel Drive,22-30,Gasoline,Automatic 6-Speed,"2L I-4 gasoline direct injection, DOHC, variable valve control,","116,568 mi.",Used,2012,Volkswagen,Eos Komfort
atlanta-ga,Rosso Corsa,Nero,All-wheel Drive,0-0,Hybrid,8-Speed A/T,4.0L  8 Cylinder Engine,106 mi.,Ferrari Certified,2023,Ferrari,SF90 Spider Convertible
atlanta-ga,Grigio Competizione,Rosso F40 fabric,All-wheel Drive,0-0,Hybrid,8-Speed A/T,4.0L  8 Cylinder Engine,"1,702 mi.",Ferrari Certified,2022,Ferrari,SF90 Spider Convertible
atlanta-ga,Infrared,–,Rear-wheel Drive,17-25,Gasoline,Automatic,"5L V-8 port/direct injection, DOHC, variable valve control, prem","19,231 mi.",Used,2022,Lexus,IS 500 F SPORT Performance Premium
atlanta-ga,WHITE,Beige,Rear-wheel Drive,18-23,Gasoline,Automatic,4.3L DOHC SFI 32-valve V8 engine-inc: continuously variable valv,"105,895 mi.",Used,2005,Lexus,SC 430 Base
atlanta-ga,Silver,Other,Unknown,32-32,Hybrid,Automatic 7-Speed,3.5L V6,"97,038 mi.",Used,2012,INFINITI,M35h Base
atlanta-ga,Platinum White Pearl,Parchment,Front-wheel Drive,22-31,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"16,312 mi.",Used,2021,Acura,TLX Technology
atlanta-ga,Platinum White Pearl,Parchment,Front-wheel Drive,22-31,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"16,312 mi.",Used,2021,Acura,TLX Technology
atlanta-ga,Red,Black,Unknown,38-38,Gasoline,Automatic 6-Speed,I4 2.5L Natural Aspiration,"211,919 mi.",Used,2014,Mazda,Mazda6 i Touring
atlanta-ga,Jet Black Metallic,Black,All-wheel Drive,NULL,,2-Speed Automatic,Electric,"3,090 mi.",Used,2021,Porsche,Taycan Cross Turismo 4
atlanta-ga,Turbo Blue,Pearl Beige,All-wheel Drive,19-27,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,","55,451 mi.",Used,2020,Audi,Q3 45 S line Premium
atlanta-ga,Silver,BLACK,Four-wheel Drive,18-24,Gasoline,Automatic,Gas,"43,838 mi.",Used,2018,Lexus,RC 350 F-Sport
atlanta-ga,Gray,BLACK,Four-wheel Drive,,Electric and Gas Hybrid,Automatic,Turbo Hybrid,"33,436 mi.",Used,2022,Hyundai,Tucson Hybrid SEL Convenience
atlanta-ga,Carbon Black Metallic,Black,All-wheel Drive,18-25,Gasoline,Automatic,"4.4L V-8 gasoline direct injection, DOHC, Double VANOS variable","57,900 mi.",Used,2019,BMW,M550 i Xdrive
atlanta-ga,Graphite Gray,Macchiato Beige,All-wheel Drive,19-24,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,"4,158 mi.",Mercedes-Benz Certified,2024,Mercedes-Benz,AMG GT 53 Base
atlanta-ga,Alpine White Clearcoat,Black,Four-wheel Drive,22-27,Gasoline,9-Speed 948TE Automatic,"1.3L I-4 gasoline direct injection, Multiair variable valve cont","23,639 mi.",Used,2022,Jeep,Renegade Trailhawk
atlanta-ga,White,Black,Rear-wheel Drive,NULL,Gasoline,Transmission w/Dual Shift Mode,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,"62,000 mi.",Used,2017,Lexus,GS F Base
atlanta-ga,Summit White,Jet Black,Front-wheel Drive,NULL,,1-Speed Automatic,Electric,"30,878 mi.",Used,2023,Chevrolet,Bolt EUV LT
atlanta-ga,Gold,Beige,Rear-wheel Drive,NULL,Gasoline,4-Speed A/T,291.0HP 4.2L Straight 6 Cylinder Engine Gasoline Fuel,"150,000 mi.",Used,2006,Chevrolet,TrailBlazer EXT LT
atlanta-ga,Caspian Blue,Light Gray,All-wheel Drive,24-30,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,"37,064 mi.",Used,2020,Nissan,Rogue Sport SL
atlanta-ga,Granite Crystal Clearcoat Metallic,Black,Front-wheel Drive,,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,"60,799 mi.",Used,2022,Chrysler,Pacifica Touring-L
atlanta-ga,Silver,Black,Front-wheel Drive,31-36,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC,"18,658 mi.",Used,2019,Honda,Fit EX
atlanta-ga,Black Sapphire Metallic,Black,Rear-wheel Drive,23-30,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,"17,838 mi.",Used,2021,BMW,840 i
atlanta-ga,Brown,Brown,Front-wheel Drive,34-34,Gasoline,Automatic 6-Speed,1.6L I4,"89,763 mi.",Used,2015,MINI,Convertible Cooper
atlanta-ga,Silver,Beige,Rear-wheel Drive,18-25,Gasoline,5-Speed Automatic,4.3L V8 32V MPFI DOHC,"222,870 mi.",Used,2001,Lexus,LS 430 Base (A5)
atlanta-ga,Green,Macchiato,All-wheel Drive,,Hybrid,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,"3,675 mi.",Used,2024,Mercedes-Benz,GLE 450 Plug-In Hybrid Base 4MATIC
atlanta-ga,White,Brown,Rear-wheel Drive,17-25,Gasoline,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,"25,164 mi.",Used,2013,Mercedes-Benz,SL-Class SL 550
atlanta-ga,Titanium Silver Metallic,Beige,All-wheel Drive,19-28,Gasoline,6-Speed Automatic,3.0L I6 24V MPFI DOHC,"168,164 mi.",Used,2006,BMW,325 xiT
atlanta-ga,WHITE,BLACK,Rear-wheel Drive,20-30,Gasoline,Automatic,"3L I-6 gasoline direct injection, DOHC, variable valve control,","90,152 mi.",Used,2015,BMW,535 535i
atlanta-ga,BLUE,BROWN,All-wheel Drive,21-31,Gasoline,Manual,"3L I-6 gasoline direct injection, DOHC, variable valve control,","93,538 mi.",Used,2017,BMW,340 xDrive
atlanta-ga,Alpine White,Black,Front-wheel Drive,24-31,Gasoline,9-Speed Automatic,2.4L I4 16V MPFI SOHC,"104,888 mi.",Used,2018,Jeep,Renegade Latitude
atlanta-ga,Alpine White,Black,Front-wheel Drive,24-31,Gasoline,9-Speed Automatic,2.4L I4 16V MPFI SOHC,"104,888 mi.",Used,2018,Jeep,Renegade Latitude
atlanta-ga,Matte Grey,–,Rear-wheel Drive,15-20,Gasoline,7-Speed Automatic with Auto-Shift,3.9L V8 32V GDI DOHC Twin Turbo,"1,344 mi.",Used,2020,Ferrari,488 Pista Base
atlanta-ga,Blue,Nero,Rear-wheel Drive,15-20,Gasoline,7-Speed Automatic with Auto-Shift,3.9L V8 32V GDI DOHC Twin Turbo,915 mi.,Used,2020,Ferrari,488 Pista Base
atlanta-ga,Phytonic Blue Metallic,Adelaide Grey/Black,All-wheel Drive,14-19,Gasoline,8-Speed Automatic Sport,"3L I-6 gasoline direct injection, DOHC, Double VANOS variable va","29,636 mi.",Used,2021,BMW,X4 M AWD
atlanta-ga,Green,BROWN,Four-wheel Drive,,Gasoline,Automatic,Turbo Gas,"23,235 mi.",Used,2021,Audi,A5 Sportback Premium Plus
atlanta-ga,Black,BLACK,Four-wheel Drive,19-26,Gasoline,Automatic,Gas,"49,621 mi.",Used,2020,INFINITI,QX60 Pure
atlanta-ga,White Satin Pearl,Cashmere,Rear-wheel Drive,18-28,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,"104,221 mi.",Used,2012,Hyundai,Genesis 3.8
atlanta-ga,Platinum White Pearl,Gray,Front-wheel Drive,23-34,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"46,576 mi.",Used,2018,Honda,Accord EX-L 2.0T
atlanta-ga,Black,Jet Black,Front-wheel Drive,19-26,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,"32,022 mi.",Used,2020,Chevrolet,Blazer Premier
atlanta-ga,Desert Sky Blue,Black Ink,Rear-wheel Drive,18-24,Gasoline,5-Speed Automatic,3.9L V8 32V MPFI DOHC,"127,468 mi.",Used,2003,Ford,Thunderbird Premium
atlanta-ga,White,–,Front-wheel Drive,26-32,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,"3,630 mi.",Used,2023,Honda,HR-V Sport
atlanta-ga,Red,Gray,Front-wheel Drive,34-34,Gasoline,CVT,2.0L I4,"86,035 mi.",Used,2013,Mitsubishi,Lancer SE
atlanta-ga,Cosmic Blue Pearl,Black,All-wheel Drive,27-35,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,504 mi.,Used,2024,Subaru,Legacy Premium
atlanta-ga,Gray,Black,All-wheel Drive,0-0,Hybrid,8-Speed Porsche Doppelkupplung (PDK),"2.9L V-6 gasoline direct injection, DOHC, VarioCam Plus variable","71,622 mi.",Used,2018,Porsche,Panamera E-Hybrid 4
atlanta-ga,Summit White,Jet Black,Front-wheel Drive,NULL,,1-Speed Automatic,Electric,"37,485 mi.",Used,2023,Chevrolet,Bolt EUV LT
atlanta-ga,Black,Gray,Four-wheel Drive,16-21,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,"22,707 mi.",Used,2020,Ford,Expedition Max Limited
atlanta-ga,Onyx,Hotspur,All-wheel Drive,,Hybrid,Automatic,2.9L V6 24V GDI DOHC Twin Turbo Hybrid,"9,830 mi.",Used,2022,Bentley,Flying Spur Hybrid Base
atlanta-ga,Jet Black,Beige,Rear-wheel Drive,21-27,Gasoline,Automatic,"3L I-6 DOHC, Double VANOS variable valve control, premium unlead","86,429 mi.",Used,2006,BMW,325 325i Sedan 4D
atlanta-ga,Radiant Silver Metallic,Jet Black,Front-wheel Drive,NULL,,1-Speed Automatic,Electric,"74,341 mi.",Used,2014,Cadillac,ELR Base
atlanta-ga,2 Tone Gun / Black Roof,Charcoal,Front-wheel Drive,20-27,Gasoline,Automatic,3.5L V6 24V GDI DOHC,"25,265 mi.",Used,2023,Nissan,Pathfinder SL
atlanta-ga,White,Blue,Rear-wheel Drive,NULL,–,A/T,–,"250,218 mi.",Used,1992,Lexus,SC 300 Base
atlanta-ga,White,Beige,Front-wheel Drive,22-28,Gasoline,4-Speed Automatic,2.0L I4 16V MPFI DOHC,"79,655 mi.",Used,2001,Mazda,626 LX
atlanta-ga,Golden Pearl,Ivory,Rear-wheel Drive,19-23,Gasoline,4-Speed Automatic,3.0L I6 24V MPFI DOHC,"144,718 mi.",Used,2000,Lexus,SC 300 Base (A4)
atlanta-ga,Bianco,Marrone,All-wheel Drive,16-24,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,"68,759 mi.",Used,2018,Maserati,Ghibli S Q4
atlanta-ga,Ceramic Gray Clearcoat,Black,Front-wheel Drive,,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,"62,296 mi.",Used,2022,Chrysler,Pacifica Limited
atlanta-ga,Blue,Nero,Rear-wheel Drive,17-24,Gasoline,Automatic,"3L V-6 gasoline direct injection, DOHC, variable valve control,","52,748 mi.",Used,2016,Maserati,Ghibli Base
atlanta-ga,Red,BLACK,Rear-wheel Drive,22-27,Gasoline,Automatic,Turbo Gas,"44,129 mi.",Used,2018,Volkswagen,Tiguan SE
atlanta-ga,Forest Green,Brown,Rear-wheel Drive,19-28,Gasoline,Manual,"Ecotec 2L I-4 gasoline direct injection, DOHC, variable valve co","22,810 mi.",Used,2008,Saturn,Sky Red Line
atlanta-ga,Silver,GRAY,Rear-wheel Drive,39-44,Electric and Gas Hybrid,Automatic,Hybrid,"45,323 mi.",Used,2019,Hyundai,Sonata Hybrid Limited
atlanta-ga,ALPINA Green Metallic,Tartufo,All-wheel Drive,16-20,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,"7,549 mi.",Used,2024,BMW,ALPINA XB7 Base
atlanta-ga,Gray,Gray,Four-wheel Drive,NULL,Gasoline,5-Speed A/T,235.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,"185,000 mi.",Used,2003,Dodge,Ram 1500 SLT Quad Cab
atlanta-ga,Mineral Gray Metallic,Dark Atmosphere/Medium Ash Gray,Front-wheel Drive,29-36,Gasoline,Automatic,"ECOTEC 1.5L I-4 gasoline direct injection, DOHC, VVT variable va","40,330 mi.",Used,2022,Chevrolet,Malibu FWD LT
atlanta-ga,Mineral Gray Metallic,Dark Atmosphere/Medium Ash Gray,Front-wheel Drive,29-36,Gasoline,Automatic,"ECOTEC 1.5L I-4 gasoline direct injection, DOHC, VVT variable va","78,382 mi.",Used,2022,Chevrolet,Malibu FWD LT
atlanta-ga,Silver Ice Metallic,Jet Black,Front-wheel Drive,29-36,Gasoline,Automatic,"ECOTEC 1.5L I-4 gasoline direct injection, DOHC, VVT variable va","41,765 mi.",Used,2022,Chevrolet,Malibu FWD LT
atlanta-ga,Luxury Brown Pearlcoat,Dark Frost Beige / Light Frost Beig,All-wheel Drive,18-27,E85 Flex Fuel,8-Speed Automatic,3.6L V6 24V MPFI DOHC Flexible Fuel,"68,275 mi.",Used,2012,Chrysler,300 Limited
atlanta-ga,Bright White Clearcoat,Black,Front-wheel Drive,,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,"64,033 mi.",Used,2022,Chrysler,Pacifica Touring-L
atlanta-ga,White,Red Pepper/Black,All-wheel Drive,19-25,Gasoline,9-Speed Automatic,"AMG 3L I-6 gasoline direct injection, DOHC, variable valve contr","14,022 mi.",Used,2022,Mercedes-Benz,AMG GT 53 C
atlanta-ga,Silver,Black,All-wheel Drive,19-25,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,"20,403 mi.",Used,2023,Hyundai,Palisade Calligraphy
atlanta-ga,Ebony Twilight Metallic,Jet Black,Front-wheel Drive,18-25,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,"65,582 mi.",Used,2019,GMC,Acadia SLT-2
atlanta-ga,Polar White,Black,All-wheel Drive,19-24,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,"30,441 mi.",Used,2019,Mercedes-Benz,AMG GT 53 Base
atlanta-ga,Graphite Gray Metallic,Magma Grey,All-wheel Drive,19-24,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,"57,390 mi.",Used,2019,Mercedes-Benz,AMG GT 53 Base
atlanta-ga,Blue,–,All-wheel Drive,17-23,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,"154,200 mi.",Used,2015,Volkswagen,Touareg
atlanta-ga,Red,–,Four-wheel Drive,,Diesel,Automatic,5.9L I6 24V DDI OHV Turbo Diesel,"235,389 mi.",Used,2006,Dodge,Ram 3500 SLT
atlanta-ga,White,Beige,All-wheel Drive,23-23,Gasoline,Automatic 9-Speed,3.0L V6 Twin Turbocharger,"87,679 mi.",Used,2019,Mercedes-Benz,GLE 400 Base 4MATIC
atlanta-ga,Bright White Clearcoat,Black,Four-wheel Drive,17-23,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"94,086 mi.",Used,2018,Jeep,Wrangler Unlimited Sport
atlanta-ga,Copper,Brown,All-wheel Drive,33-30,Hybrid,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,"103,258 mi.",Used,2018,Lexus,NX 300h Base
atlanta-ga,Black,Red,All-wheel Drive,NULL,,Automatic,EV400 Dual Electric Motors (394 HP) -inc: 90kwh battery pack,"73,886 mi.",Used,2019,Jaguar,I-PACE SE
atlanta-ga,B5 Blue Pearlcoat,Black,Rear-wheel Drive,16-25,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,"40,736 mi.",Used,2019,Dodge,Charger R/T
atlanta-ga,Gray,BLACK,Rear-wheel Drive,,Gasoline,Automatic,Turbo Gas,"25,747 mi.",Used,2021,MINI,Hardtop S
atlanta-ga,White,TAN,Four-wheel Drive,21-30,E85 Flex Fuel,Automatic,Turbo Gas,"44,693 mi.",Used,2016,Audi,A4 Premium
atlanta-ga,designo Selenite Gray,Black,All-wheel Drive,19-24,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,"36,099 mi.",Used,2020,Mercedes-Benz,AMG GT 53 Base
atlanta-ga,Red,Graphite,Front-wheel Drive,21-28,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,"82,490 mi.",Used,2017,Nissan,Murano S
atlanta-ga,Yellow,Black,Rear-wheel Drive,,Gasoline,7-Speed Automatic with Auto-Shift,2.5L H4 16V GDI DOHC Turbo,"26,803 mi.",Used,2019,Porsche,718 Cayman S
atlanta-ga,Black,Tan,Front-wheel Drive,21-28,Gasoline,5-Speed Automatic,2.4L I5 20V MPFI DOHC Turbo,"210,772 mi.",Used,2001,Volvo,V70 2.4T
atlanta-ga,Dolomite Silver Metallic,Black/Chalk,All-wheel Drive,0-0,Hybrid,Automatic,"2.9L V-6 gasoline direct injection, DOHC, variable valve control","3,482 mi.",Used,2022,Porsche,Panamera E-Hybrid 4 Platinum Edition
atlanta-ga,Ice Silver Metallic,Gray,All-wheel Drive,26-32,Gasoline,Automatic CVT,2.5L H4 16V MPFI DOHC,"91,936 mi.",Used,2017,Subaru,Forester 2.5i Limited
atlanta-ga,Arctic Blue Metallic,Almond,Front-wheel Drive,26-33,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,"42,059 mi.",Used,2015,Nissan,Rogue S
atlanta-ga,Black,Black,Rear-wheel Drive,23-34,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,","41,474 mi.",Used,2019,Mercedes-Benz,C-Class C 300 4dr Sedan
atlanta-ga,Machine Gray Metallic,Black,Front-wheel Drive,26-35,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,"37,870 mi.",Used,2021,Mazda,Mazda6 Touring
atlanta-ga,White,Red Pepper,All-wheel Drive,,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,"30,834 mi.",Used,2022,Mercedes-Benz,AMG GT 53 Base
atlanta-ga,Black,Black,All-wheel Drive,20-25,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,"12,055 mi.",Used,2021,Mercedes-Benz,AMG GT 53 Base
atlanta-ga,Bright White Clearcoat,Black,Front-wheel Drive,,Gasoline,6-Speed Automatic,3.6L V6 24V MPFI DOHC,"82,960 mi.",Used,2021,RAM,ProMaster 3500 Window Van High Roof
atlanta-ga,Arctic Blue Metallic,Almond,Front-wheel Drive,26-33,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,"53,630 mi.",Used,2016,Nissan,Rogue SL
atlanta-ga,Deep Ocean Blue,Cashmere,All-wheel Drive,20-28,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,"43,722 mi.",Used,2023,Nissan,Murano SV
atlanta-ga,White,Cashmere,Front-wheel Drive,21-28,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,"94,856 mi.",Used,2017,Nissan,Murano Platinum
atlanta-ga,Black Onyx,Ecru,Rear-wheel Drive,18-22,Gasoline,Automatic,"4.3L V-8 DOHC, variable valve control, premium unleaded, engine","93,633 mi.",Used,2003,Lexus,SC 430 Base
atlanta-ga,Summit White,–,Rear-wheel Drive,15-0,Gasoline,Automatic,"Vortec 4.3L V-6 regular unleaded, engine with 195HP","64,506 mi.",Used,2012,Chevrolet,Express 1500 Work Van
atlanta-ga,Blue,Black,Front-wheel Drive,NULL,,1-Speed A/T,115.0HP Electric Motor Electric Fuel System,"55,550 mi.",Used,2016,Volkswagen,e-Golf SEL Premium
atlanta-ga,Carpathian Grey,Espresso / Ivory,Four-wheel Drive,17-23,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,"116,710 mi.",Used,2016,Land,Rover Range Rover Sport Supercharged HSE
atlanta-ga,Champagne,Saddle,Rear-wheel Drive,18-23,Gasoline,Automatic,"4.3L V-8 DOHC, variable valve control, premium unleaded, engine","71,156 mi.",Used,2004,Lexus,SC 430 Base
atlanta-ga,White,BLACK,Four-wheel Drive,24-32,Gasoline,Automatic,Turbo Gas,"51,347 mi.",Used,2015,Mercedes-Benz,GLA-Class
atlanta-ga,Black,Jet Black,Front-wheel Drive,19-27,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,"39,099 mi.",Used,2023,Chevrolet,Blazer RS
atlanta-ga,Gray,–,All-wheel Drive,19-25,Gasoline,9-Speed Automatic,"AMG 3L I-6 gasoline direct injection, DOHC, variable valve contr","19,056 mi.",Used,2022,Mercedes-Benz,AMG GT 53 C
atlanta-ga,White,GRAY,Rear-wheel Drive,26-34,Gasoline,Automatic,Turbo Gas,"43,794 mi.",Used,2020,Chevrolet,Sonic LT
atlanta-ga,Red,Tan,Unknown,22-22,Gasoline,Automatic 7-Speed,V8 5.0L Natural Aspiration,"67,648 mi.",Used,2006,Mercedes-Benz,SL-Class SL500 Roadster
atlanta-ga,–,–,All-wheel Drive,17-24,Gasoline,Automatic,"3.7L V-6 DOHC, variable valve control, premium unleaded, engine","128,578 mi.",Used,2011,INFINITI,M37x Base
atlanta-ga,Obsidian Black,Camel,Rear-wheel Drive,18-25,Gasoline,6-Speed Automatic,4.3L V8 32V MPFI DOHC,"109,128 mi.",Used,2007,Lexus,SC 430
atlanta-ga,Black Sapphire Pearl,Black,Rear-wheel Drive,16-23,Gasoline,6-Speed Automatic,4.3L V8 32V MPFI DOHC,"171,129 mi.",Used,2008,Lexus,SC 430 Base (A6)
atlanta-ga,Silver,Black,Front-wheel Drive,NULL,Gasoline,A/T,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,"172,500 mi.",Used,2009,Volkswagen,CC Sport
atlanta-ga,Blue Metallic,Black/Dark Oyster,All-wheel Drive,23-33,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,","56,105 mi.",Used,2018,BMW,430 i xDrive
atlanta-ga,Storm Blue Metallic,Charcoal,Front-wheel Drive,27-37,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,"61,290 mi.",Used,2022,Nissan,Altima 2.5 SV
atlanta-ga,Britannia Blue,Black,Four-wheel Drive,15-15,Gasoline,8-Speed Automatic,3.0L I6,"2,557 mi.",Used,2024,INEOS,Grenadier Fieldmaster Edition
atlanta-ga,Lunar Silver Metallic,–,All-wheel Drive,19-25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,"61,006 mi.",Used,2020,Acura,MDX 3.5L Technology & A-Spec Pkgs
atlanta-ga,Black,Beige,Rear-wheel Drive,,Gasoline,5-Speed Automatic,5.6L V8 32V MPFI DOHC,"51,595 mi.",Used,2016,Nissan,NV Passenger NV3500 HD SL V8
atlanta-ga,Summit White,Neutral,Rear-wheel Drive,15-19,Gasoline,Automatic,"Vortec 4.3L V-6 regular unleaded, engine with 195HP","97,989 mi.",Used,2007,Chevrolet,Express 1500 Base
atlanta-ga,Frost,Mid Blue Black,Front-wheel Drive,33-42,Gasoline,Automatic,"1.5L I-4 gasoline direct injection, DOHC, variable valve control","131,908 mi.",Used,2016,Scion,iA Base
atlanta-ga,Arctic Blue Metallic,Charcoal,Front-wheel Drive,26-33,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,"99,197 mi.",Used,2015,Nissan,Rogue SV
atlanta-ga,Alpine White,Silverstone,Rear-wheel Drive,21-26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,"44,073 mi.",Used,2023,BMW,X5 sDrive40i
atlanta-ga,Pearl White,Black,Rear-wheel Drive,16-23,Gasoline,8 Speed Automatic,"5L V-8 port/direct injection, DOHC, VVT-iE variable valve contro","167,600 mi.",Used,2008,Lexus,IS-F 4dr Sdn
atlanta-ga,Silver,Black,Rear-wheel Drive,24-34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"20,834 mi.",Used,2018,BMW,530 i
atlanta-ga,Black,Beige,Front-wheel Drive,44-40,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,"114,721 mi.",Used,2013,Toyota,Prius v Five
atlanta-ga,Blue,Gray,Front-wheel Drive,20-28,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,"5,083 mi.",Used,2023,Nissan,Murano SL
